item_no,sector,Academic_Year,AY_Start,AY_End,Region,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11 ABM,Grade 11 HUMSS,Grade 11 STEM,Grade 11 GAS,Grade 11 MARITIME,Grade 11 TVL,Grade 11 SPORTS,Grade 11 A&D,Grade 12 ABM,Grade 12 HUMSS,Grade 12 STEM,Grade 12 GAS,Grade 12 MARITIME,Grade 12 TVL,Grade 12 SPORTS,Grade 12 A&D
1,Public,SY 2010-2011,2010,2011,Region I - Ilocos Region,84553,120004,106298,101393,100785,98037,92149,84273,78310,73506,68718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Public,SY 2010-2011,2010,2011,Region II - Cagayan Valley,27079,83959,73674,70180,68135,65510,62318,54156,50818,47089,42985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Public,SY 2010-2011,2010,2011,Region III - Central Luzon,141901,258235,221107,210823,208874,200842,187311,171749,153636,137746,120765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Public,SY 2010-2011,2010,2011,Region IV-A - CALABARZON,135149,311562,261317,253680,244886,234923,218548,205849,183617,165552,143008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Public,SY 2010-2011,2010,2011,Region IV-B - MIMAROPA,47289,100391,82742,76393,71897,67372,62071,56084,48352,43540,38317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Public,SY 2010-2011,2010,2011,Region V - Bicol Region,106282,213159,170617,158442,150241,141879,133409,115366,98742,88874,78227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Public,SY 2010-2011,2010,2011,Region VI - Western Visayas,88707,218036,177969,161894,156429,148491,140308,134986,122672,113441,99801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Public,SY 2010-2011,2010,2011,Region VII - Central Visayas,120553,210349,171819,161095,154928,146433,132932,125737,107960,95478,82874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Public,SY 2010-2011,2010,2011,Region VIII - Eastern Visayas,67173,153902,125625,117311,112298,104891,96699,90002,76297,66295,55745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Public,SY 2010-2011,2010,2011,Region IX - Zamboanga Peninsula,60672,139010,102402,91135,84217,78271,71410,64729,55241,48602,41617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
