Academic_Year,AY_Start,sector,Strand,Grade_11,Grade_12
SY 2016-2017,2016,Public,ABM,59629,0
SY 2017-2018,2017,Public,ABM,59845,55029
SY 2018-2019,2018,Public,ABM,72320,60302
SY 2019-2020,2019,Public,ABM,76669,70991
SY 2020-2021,2020,Public,ABM,93496,74735
SY 2016-2017,2016,Private,ABM,142102,0
SY 2017-2018,2017,Private,ABM,139787,121469
SY 2018-2019,2018,Private,ABM,140773,128747
SY 2019-2020,2019,Private,ABM,125903,127024
SY 2020-2021,2020,Private,ABM,97189,109879
SY 2016-2017,2016,SUC-LUC,ABM,8464,0
SY 2017-2018,2017,SUC-LUC,ABM,8147,7159
SY 2018-2019,2018,SUC-LUC,ABM,6128,8075
SY 2019-2020,2019,SUC-LUC,ABM,5784,5822
SY 2020-2021,2020,SUC-LUC,ABM,4163,5631
SY 2016-2017,2016,Public,AD,2457,0
SY 2017-2018,2017,Public,AD,2491,2201
SY 2018-2019,2018,Public,AD,3424,2722
SY 2019-2020,2019,Public,AD,4066,3397
SY 2020-2021,2020,Public,AD,3095,3727
SY 2016-2017,2016,Private,AD,3066,0
SY 2017-2018,2017,Private,AD,3061,2426
SY 2018-2019,2018,Private,AD,3642,2844
SY 2019-2020,2019,Private,AD,3274,3148
SY 2020-2021,2020,Private,AD,2462,2834
SY 2016-2017,2016,SUC-LUC,AD,346,0
SY 2017-2018,2017,SUC-LUC,AD,264,131
SY 2018-2019,2018,SUC-LUC,AD,245,338
SY 2019-2020,2019,SUC-LUC,AD,341,311
SY 2020-2021,2020,SUC-LUC,AD,152,238
SY 2016-2017,2016,Public,GAS,200084,0
SY 2017-2018,2017,Public,GAS,205635,177369
SY 2018-2019,2018,Public,GAS,204136,193928
SY 2019-2020,2019,Public,GAS,193202,185717
SY 2020-2021,2020,Public,GAS,232283,177871
SY 2016-2017,2016,Private,GAS,95959,0
SY 2017-2018,2017,Private,GAS,100908,81471
SY 2018-2019,2018,Private,GAS,86860,87300
SY 2019-2020,2019,Private,GAS,75803,75574
SY 2020-2021,2020,Private,GAS,61804,63260
SY 2016-2017,2016,SUC-LUC,GAS,4356,0
SY 2017-2018,2017,SUC-LUC,GAS,3222,2524
SY 2018-2019,2018,SUC-LUC,GAS,2315,3227
SY 2019-2020,2019,SUC-LUC,GAS,2374,2151
SY 2020-2021,2020,SUC-LUC,GAS,2086,2020
SY 2016-2017,2016,Public,HUMSS,64917,0
SY 2017-2018,2017,Public,HUMSS,92728,59335
SY 2018-2019,2018,Public,HUMSS,142169,93548
SY 2019-2020,2019,Public,HUMSS,196523,139341
SY 2020-2021,2020,Public,HUMSS,276790,189771
